subnum,group,sex,actuhap,ideahap,depress,rigoract,cultatt,temperatt
2019,2,0,-0.241746889,0.748269894,15,0,3.166666667,0.166666667
2020,2,0,-0.325407013,1.052510837,14,2,1.5,0.5
2022,2,0,0.786325337,1.169651327,14,3,3.333333333,0.666666667
2025,2,1,-0.334366928,0.876153527,13,0,5.166666667,0.5
2026,2,1,-0.569580622,0.462527953,10,1,3.333333333,0.833333333
2027,2,0,0.05154061,0.663884191,22,0,4.333333333,0
2028,2,1,0.284901441,1.008309855,5,0,5.5,0.833333333
2030,2,1,-0.821244549,0.647552084,17,1,4.166666667,-1.5
2036,2,1,0.466628263,0.918170865,15,1,3.666666667,1
2038,2,0,0.124711649,1.189661901,8,2,3.166666667,0.166666667
2039,2,1,-0.840418063,0.70764278, , ,4.166666667,-1
2041,2,0,-0.811444119,0.454086814,34,0,4,-1.166666667
2043,2,0,0.086172748,0.633222244,23,4,3,-0.833333333
2047,2,0,-0.128817028,0.59258423,16,2,4.166666667,-0.5
2048,2,1,-1.026175969,0.368487213,22,0,2.666666667,-0.833333333
2049,2,0,1.239020813,0.647811799,23,0,3.5,0
2051,2,0,0.460727688,0.522232968,8,1,4.833333333,0.5
2052,2,1,0.032322282,0.578709233,28,0,4.166666667,1.166666667
2055,2,1,0.753270321,0.873827592,13,2,4.5,0.333333333
2056,2,1,-0.98668745,0.396804002,13,0,3,0.833333333
2057,2,1,0.141736677,0.496953289,30,0,4.5,0.166666667
2058,2,1,-0.499350227,0.652518898,28,0,3.666666667,0
2060,2,0,-0.111617524,0.679055203,30,0,5,0.333333333
2061,2,0,-0.951719908,0.566497376,39,2,2.333333333,-0.333333333
2062,2,1,-0.161262357,0.740592076,31,1,2.833333333,0.333333333
2063,2,0,1.159673625,0.978768262,15,2,3.333333333,-0.333333333
2067,2,1,0.554397039,0.863926882, , ,4.333333333,-0.166666667
2068,2,1,0.202567111,0.735696501,7,0,4,0.666666667
2069,2,0,0.210470845,0.262058869,16,0,2.5,0.166666667
2073,2,0,0,0.227267553, , ,4,0
2079,2,1,0.326878749,0.612707081,8,1,4,0.666666667
2081,2,1,-0.40824829,0.816517116,14,0,3.5,0.333333333
2084,2,0,-0.135915071,0.433460723,27,1,3.833333333,0.333333333
2086,2,0,-0.884210538,0.306485667,8,0,2.5,-0.666666667
2090,2,0,0.400891863,0.509517508,23,0,3,0.166666667
2094,2,1,-0.214104806,0.610467696,16,0,2.833333333,-0.5
2095,2,0,0,0.359776965,21,1,3.166666667,-0.5
2098,2,0,-0.18244753,0.41844761,10,1,4,-0.333333333
2103,2,0,0.048494195,0.332205299, , ,5.666666667,0.5
2104,2,1,0.456210564,0.835356803,5, ,4.5,0.666666667
2105,2,1,0.801783726,0.828078671,3,1,4.666666667,1
2106,2,1,0.05154061,0.686030877,11,4,5,0.666666667
2111,2,1,1.074418466,0.984066016,2,1,5.5,1.333333333
2112,2,1,0.758854578,0.922560409,5,0,3.666666667,1.333333333
3000,2,1,-0.047972887,0.564811812,33,0,4.333333333,-0.666666667
3005,2,1,0.418816955,0.564288094,35,0,3.5,0
3006,2,1,1.587150786,1.120631051, , ,5.333333333,0.166666667
3014,2,1,0.537315827,0.506289555,17,0,4.833333333,1
3017,2,1,0.232379001,0.597396157, , ,3.833333333,0
3027,2,1,0.818256245,1.06648831, , ,2.5,1.333333333
3030,2,0,0.398486146,0.896506197,28,0,6.333333333,-0.5
3051,2,0,-0.269407953,0.688924545,11, ,2.5,-1.5
3055,2,1,0.907164995,1.045481007, , ,5.5,1.166666667
3062,2,1,-0.9258201,0.520029271,44,0,4,-0.5
3065,2,1,1.122331203,0.747087368,8,0,4.333333333,1
3066,2,0,0.633232775,0.539411429,10,0,5.5,0.5
3069,2,1,0.4466625,0.881414066,13,0,2.833333333,0
3088,2,1,0.093205465,0.624089633,18,1,3.166666667,0.166666667
3092,2,0,0.166666667,0.64857068,5,0,4.166666667,0.166666667
3093,2,0,-0.44582257,0.473305286,32,0,3.5,-0.333333333
3096,2,1,-0.137696619,0.455845432,12,0,4,0.333333333
3098,2,1,1.257823005,0.796819073,1,0,7,1.666666667
3099,2,0,0.381186735,0.656392462,16,0,4.166666667,1
3106,2,0,0.429709735,1.113792424,14,0,3.166666667,1
